Username Telegram,Country,Pack
auroraofficiel,Europe,pack1
auroraofficiel,France,pack2
VER0NE,Europe,pack2
auroraofficiel,Europe,pack1
VER0NE,Europe,pack2
VER0NE,France,pack1
auroraofficiel,France,pack2
